name,strain,date,host,serotype,country
QBM69670,A/China/38888/2012,2012-08-29,Human,H3N2,China
AIY59238,A/duck/Shandong/TA01/2012,2012-12-27,Avian,H9N2,China
ADK78207,A/rosy-billed pochard/Argentina/CIP051-925/2008,2008-02-,Avian,H6N2,Argentina
QFQ20405,A/Sydney/536/2017,2017-08-18,Human,H3N2,Australia
ACB32201,A/Guangzhou/483/2006,2006--,Human,H1N1,China
ADI24515,A/Singapore/GP3441/2009,2009-08-31,Human,H1N1,Singapore
AGE00381,A/American green-winged teal/Wisconsin/10OS3093/2010,2010-10-03,Avian,"mixed,H3",USA
AMA11887,A/swine/Iowa/A01796353/2015,2015-11-12,Swine,H1N2,USA
QAR20851,A/swine/Missouri/A02428123/2018,2018-12-20,Swine,H3N2,USA
AAP23238,A/Memphis/31/98,1998--,Human,H3N2,USA
BAE48688,A/swan/Hokkaido/67/1996,1996--,Avian,H5N3,Japan
AAO86946,A/chicken/NY/1398-6/99,1999--,Avian,H7N2,USA
ADR00678,A/mallard/Interior Alaska/7MP0167/2007,2007-08-13,Avian,H12N5,USA
AFC35438,A/little yellow-shouldered bat/Guatemala/060/2010,2010-09-,Bat,H17N10,Guatemala
AFM46852,A/swine/Iowa/A01202797/2011,2011-11-03,Swine,H1N2,USA
AJI76207,A/swine/Hunan/196/2011,2011-11-15,Swine,H1N1,China
AJS17097,A/chicken/Anhui/A3086/2014,2014-11-11,Avian,H9,China
AJS17475,A/chicken/Jiangsu/J3842/2014,2014-11-06,Avian,H9,China
BAT21741,A/Gunma/69-2/2012,2012-12-08,Human,H3N2,Japan
AZS61925,A/swine/Wielen/21300/2015,2015-02-12,Swine,H3N2,Germany
BAB39511,A/parakeet/Chiba/1/97,1997--,Avian,H9N2,Japan
ADE06875,A/aquatic bird/Korea/w206/2007,2007-11-,Avian,H5N2,South Korea
ADN92778,A/Taiwan/2823/2008,2008-09-19,Human,H1N1,Taiwan
ADV69106,A/swine/Minnesota/2221-1/2010,2010-04-09,Swine,H1N2,USA
AEK85470,A/Taiwan/65093/2011,2011-01-,Human,H1N1,Taiwan
AEO91866,A/swine/Minnesota/001444/2007,2007-01-19,Swine,H3N2,USA
AFD98395,A/Boston/DOA61/2011,2011-02-24,Human,H3N2,USA
AFJ13413,A/laughing gull/Delaware Bay/10/1990,1990-04-18,Avian,H2N1,USA
AFR75854,A/swine/Korea/1204/2009,2009-02-,Swine,H1N2,South Korea
AGE03448,A/mallard/Iowa/10OS2721/2010,2010-10-16,Avian,H2N2,USA
AGF68951,A/swine/Iowa/A01432370/2013,2013-01-,Swine,H1N2,USA
AHJ57932,A/duck/Guangdong/S1419/2011,2011-03-09,Avian,H6N6,China
AHZ43241,A/northern shoveler/Illinois/12OS5294/2012,2012-11-10,Avian,H10N3,USA
AIE52366,A/Bangkok/SIMI508/2010,2010-03-23,Human,H1N1,Thailand
AII31452,A/duck/Guangdong/C3204/2010,2010-09-20,Avian,H9N2,China
ALE32074,A/New York/4687/2015,2015-01-30,Human,H3N2,USA
BAU36358,A/Fukuoka/DS-14/2013,2013-12-18,Human,H3N2,Japan
ALZ43346,A/swine/Manitoba/D0184/2012,2012-12-19,Swine,H3N2,Canada
ATV89491,A/South Australia/108/2016,2016-09-09,Human,H3N2,Australia
AAA79775,A/chicken/Germany/N/1949,1949--,Avian,H10N7,Germany
BAF03631,A/duck/Hong Kong/938/80,1980--,Avian,H10N1,Hong Kong
ABP49327,A/AA/Huston/1945,1945--,Human,H1N1,USA
ACA33719,A/Texas/71/2007,2007-12-02,Human,H3N2,USA
ACA47791,A/chicken/Shantou/3744/2003,2003--,Avian,H5N1,China
ACH95480,A/chicken/Shandong/mp1224/2007,2007-12-24,Avian,H9N2,China
ACR58706,A/common eider/Netherlands/1/2006,2006--,Avian,H3N8,Netherlands
ACS92895,A/swine/North Carolina/R08-001877-D08-013371/2008 ,2008--,Swine,H3N2,USA
ACV90743,A/mallard/Louisiana/476670-4/2007,2007--,Avian,H5N2,USA
ADC30118,A/chicken/Guangdong/A10/2007,2007-12-11,Avian,H9N2,China
ADE75203,A/mallard/Sweden/50/2002,2002-11-14,Avian,H3N8,Sweden
